City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,16.45,83,76,6.62,broken clouds
1,Saskylakh,RU,71.9167,114.0833,13.95,93,100,10.18,overcast clouds
2,Saint Paul Harbor,US,57.79,-152.4072,35.11,93,100,9.22,moderate rain
3,Mataura,NZ,-46.1927,168.8643,62.11,62,34,5.28,scattered clouds
4,Hobart,AU,-42.8794,147.3294,59.25,52,75,14.97,broken clouds
5,Esperance,AU,-33.8667,121.9,60.98,69,95,12.28,overcast clouds
6,Tiksi,RU,71.6872,128.8694,14.56,78,100,20.62,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,62.19,84,20,8.01,few clouds
8,Ushuaia,AR,-54.8,-68.3,37.06,75,0,4.61,clear sky
9,Leningradskiy,RU,69.3833,178.4167,-1.3,91,100,6.98,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,-1.26,94,20,6.71,few clouds
11,Qaanaaq,GL,77.484,-69.3632,6.89,95,99,4.25,light snow
12,Praia da Vitória,PT,38.7333,-27.0667,67.75,99,100,6.6,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,68.11,59,25,1.99,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,46.11,76,40,9.22,scattered clouds
15,Khlung,TH,12.4547,102.2214,90.37,32,36,8.95,scattered clouds
16,Zonguldak,TR,41.25,31.8333,42.84,70,7,4.0,clear sky
17,Pangnirtung,CA,66.1451,-65.7125,22.05,54,100,11.34,overcast clouds
18,Tocopilla,CL,-22.092,-70.1979,63.68,62,2,5.91,clear sky
19,Les Escoumins,CA,48.1111,-69.0236,43.36,84,32,10.13,scattered clouds
20,Portland,US,45.5234,-122.6762,44.82,93,75,8.05,broken clouds
21,Lakhdenpokh'ya,RU,61.5198,30.1992,39.79,92,100,4.03,overcast clouds
22,Mogadishu,SO,2.0371,45.3438,79.79,76,54,10.76,broken clouds
23,Toamasina,MG,-18.1667,49.3833,77.23,62,74,1.23,broken clouds
24,Seoul,KR,37.5683,126.9778,65.59,16,0,6.11,clear sky
25,Arvin,US,35.2091,-118.8284,60.4,94,84,6.22,moderate rain
26,Atar,MR,20.5169,-13.0499,73.71,12,0,7.25,clear sky
27,Santa Comba,ES,43.0331,-8.8093,51.85,98,98,3.27,overcast clouds
28,Provideniya,RU,64.3833,-173.3,26.83,71,100,31.45,overcast clouds
29,Thompson,CA,55.7435,-97.8558,25.38,57,100,7.81,overcast clouds
30,Kavieng,PG,-2.5744,150.7967,85.08,65,73,1.79,broken clouds
31,Vaini,TO,-21.2,-175.2,77.16,94,100,6.91,light rain
32,Faanui,PF,-16.4833,-151.75,77.11,81,54,13.76,light rain
33,Chicama,PE,-7.8447,-79.1469,57.74,83,63,4.79,broken clouds
34,Mareeba,AU,-17.0,145.4333,87.44,71,47,7.72,scattered clouds
35,Atuona,PF,-9.8,-139.0333,77.09,74,3,10.98,clear sky
36,Zapolyarnyy,RU,69.4154,30.8136,27.68,91,67,9.91,broken clouds
37,Kapaa,US,22.0752,-159.319,78.78,82,0,16.11,clear sky
38,Luganville,VU,-15.5333,167.1667,83.19,68,15,7.36,few clouds
39,Bluff,NZ,-46.6,168.3333,57.29,70,10,5.39,clear sky
40,Auki,SB,-8.7676,160.7034,82.42,78,57,2.98,broken clouds
41,Itarema,BR,-2.9248,-39.9167,75.9,89,58,9.6,broken clouds
42,Guerrero Negro,MX,27.9769,-114.0611,67.68,78,13,6.4,few clouds
43,Cherskiy,RU,68.75,161.3,-21.26,98,29,6.69,scattered clouds
44,Zlynka,RU,52.4267,31.7378,40.62,71,73,2.37,broken clouds
45,New Norfolk,AU,-42.7826,147.0587,58.91,56,100,4.0,overcast clouds
46,Puerto Ayora,EC,-0.7393,-90.3518,67.23,83,42,7.54,scattered clouds
47,Souillac,MU,-20.5167,57.5167,74.89,73,26,14.52,light rain
48,Cidreira,BR,-30.1811,-50.2056,54.77,77,44,9.24,scattered clouds
49,Butaritari,KI,3.0707,172.7902,81.45,68,83,13.27,broken clouds
50,Juneau,US,58.3019,-134.4197,33.22,97,20,0.0,few clouds
51,Mpongwe,ZM,-13.5091,28.155,72.79,56,93,8.39,overcast clouds
52,Rikitea,PF,-23.1203,-134.9692,70.05,63,54,18.9,broken clouds
53,Ilulissat,GL,69.2167,-51.1,19.42,73,23,9.22,few clouds
54,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,32,12.8,scattered clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,-0.47,91,10,11.61,clear sky
56,Vestmannaeyjar,IS,63.4427,-20.2734,41.07,65,100,4.88,light rain
57,Mahébourg,MU,-20.4081,57.7,78.26,75,21,14.45,light rain
58,Busselton,AU,-33.65,115.3333,68.47,52,36,8.03,scattered clouds
59,Mana,GF,5.6592,-53.7767,77.43,87,99,6.73,overcast clouds
60,Winslow,US,35.0242,-110.6974,51.98,43,0,4.61,clear sky
61,Moultrie,US,31.1799,-83.7891,60.82,82,0,0.0,clear sky
62,São Filipe,CV,14.8961,-24.4956,79.75,64,72,3.29,broken clouds
63,Barrow,US,71.2906,-156.7887,-5.78,84,0,11.5,clear sky
64,Kuusamo,FI,65.9667,29.1833,23.04,100,100,2.3,fog
65,Los Algarrobos,PA,8.5,-82.4333,73.78,92,100,1.61,overcast clouds
66,Kaeo,NZ,-35.1,173.7833,70.32,78,97,8.86,overcast clouds
67,Walvis Bay,NA,-22.9575,14.5053,57.09,90,73,6.44,broken clouds
68,Albany,US,42.6001,-73.9662,57.67,81,41,1.99,scattered clouds
69,Mount Gambier,AU,-37.8333,140.7667,55.31,88,75,19.57,broken clouds
70,Khartoum,SD,15.5518,32.5324,73.02,31,9,3.0,clear sky
71,Sibolga,ID,1.7427,98.7792,82.4,78,99,2.57,overcast clouds
72,Porbandar,IN,21.6422,69.6093,85.82,35,0,8.79,clear sky
73,Avarua,CK,-21.2078,-159.775,75.25,73,75,13.8,broken clouds
74,Hermanus,ZA,-34.4187,19.2345,61.81,85,52,11.81,broken clouds
75,Bredasdorp,ZA,-34.5322,20.0403,62.6,82,93,13.33,overcast clouds
76,Elko,US,41.0002,-115.5012,38.64,79,89,21.0,moderate rain
77,Hervey Bay,AU,-25.2986,152.8535,75.16,36,0,12.08,clear sky
78,Voi,KE,-3.3945,38.563,73.87,72,26,6.24,scattered clouds
79,Lüderitz,NA,-26.6481,15.1594,57.72,84,0,4.85,clear sky
80,Hithadhoo,MV,-0.6,73.0833,81.0,78,98,15.82,overcast clouds
81,Khatanga,RU,71.9667,102.5,15.85,94,100,11.21,light snow
82,Gazojak,TM,41.1875,61.4036,48.11,35,0,9.4,clear sky
83,Half Moon Bay,US,37.4636,-122.4286,53.78,87,40,6.91,scattered clouds
84,Havre-St-Pierre,CA,50.2334,-63.5986,44.96,100,100,6.91,light rain
85,Bandarbeyla,SO,9.4942,50.8122,80.28,69,65,7.81,broken clouds
86,Iracoubo,GF,5.4802,-53.2011,77.83,85,96,6.76,overcast clouds
87,Ca Mau,VN,9.1769,105.15,83.73,73,100,4.59,overcast clouds
88,Nikolskoye,RU,59.7035,30.7861,41.92,94,84,2.89,broken clouds
89,Arraial do Cabo,BR,-22.9661,-42.0278,69.42,82,100,21.81,overcast clouds
90,Bac Lieu,VN,9.285,105.7244,82.69,72,100,8.16,overcast clouds
91,Grand-Lahou,CI,5.1367,-5.0242,76.66,90,40,4.99,light rain
92,Port-Gentil,GA,-0.7193,8.7815,78.76,94,100,6.91,overcast clouds
93,Gouré,NE,13.9835,10.2704,73.83,25,14,10.74,few clouds
94,Mandalgovi,MN,45.7625,106.2708,29.52,32,100,5.39,overcast clouds
95,Rio Grande,BR,-32.035,-52.0986,51.44,71,0,7.96,clear sky
96,Mar del Plata,AR,-38.0023,-57.5575,53.1,72,0,12.66,clear sky
97,Vila Franca do Campo,PT,37.7167,-25.4333,70.2,94,100,13.0,light rain
98,Sawtell,AU,-30.3833,153.1,72.19,23,33,14.97,scattered clouds
99,Yumen,CN,40.2833,97.2,49.12,27,0,9.69,clear sky
100,Kushima,JP,31.4583,131.2333,68.92,80,100,7.0,overcast clouds
101,Burnie,AU,-41.0667,145.9167,52.07,70,100,16.6,overcast clouds
102,Khasan,RU,42.4308,130.6434,52.14,49,48,11.05,scattered clouds
103,Bethel,US,41.3712,-73.414,59.36,88,0,1.01,clear sky
104,Torbay,CA,47.6666,-52.7314,47.57,90,66,9.4,broken clouds
105,Nanning,CN,22.8167,108.3167,81.57,28,75,6.51,broken clouds
106,Natal,BR,-5.795,-35.2094,72.25,100,20,4.61,few clouds
107,Tasiilaq,GL,65.6145,-37.6368,30.36,77,84,5.55,broken clouds
108,Srednekolymsk,RU,67.45,153.6833,-14.94,96,63,2.59,broken clouds
109,East London,ZA,-33.0153,27.9116,66.58,70,40,18.84,scattered clouds
110,Lagoa,PT,39.05,-27.9833,65.68,94,100,8.19,light rain
111,Östersund,SE,63.1792,14.6357,45.05,100,100,15.01,overcast clouds
112,Sandwick,GB,60.0,-1.25,51.62,76,84,17.27,broken clouds
113,Chui,UY,-33.6971,-53.4616,44.44,81,0,3.36,clear sky
114,Taoudenni,ML,22.6783,-3.9836,71.92,19,0,9.71,clear sky
115,Kruisfontein,ZA,-34.0033,24.7314,60.89,78,20,6.51,few clouds
116,Dikson,RU,73.5069,80.5464,21.74,69,100,14.14,overcast clouds
117,Mpanda,TZ,-6.3655,31.0409,77.36,33,99,8.84,overcast clouds
118,Karasjok,NO,69.4719,25.5112,28.47,96,87,7.16,overcast clouds
119,Port Elizabeth,ZA,-33.918,25.5701,64.31,85,8,4.0,clear sky
120,Murygino,RU,58.7383,49.4582,32.61,96,100,12.55,light snow
121,Ürümqi,CN,43.801,87.6005,43.75,57,0,4.47,clear sky
122,Coyhaique,CL,-45.5752,-72.0662,43.41,94,8,0.96,clear sky
123,Saint-Estève,FR,42.7131,2.843,60.71,70,0,6.91,clear sky
124,Husavik,IS,66.0449,-17.3389,34.79,92,100,9.13,overcast clouds
125,Shakiso,ET,5.75,38.9167,63.86,76,11,3.09,few clouds
126,Grindavik,IS,63.8424,-22.4338,39.67,75,0,21.85,clear sky
127,Hilo,US,19.7297,-155.09,74.93,83,0,8.05,clear sky
128,Castro,BR,-24.7911,-50.0119,43.79,96,100,8.52,overcast clouds
129,Ust'-Barguzin,RU,53.45,108.9833,26.98,67,96,1.34,overcast clouds
130,Saint George,US,37.1041,-113.5841,62.26,27,0,5.01,clear sky
131,Myitkyina,MM,25.3833,97.4,83.91,41,0,1.16,clear sky
132,Grong,NO,64.4654,12.3149,47.48,94,82,5.23,broken clouds
133,Halifax,CA,44.6453,-63.5724,57.45,95,93,4.0,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,78.22,75,23,14.05,light rain
135,Requena,ES,39.4883,-1.1004,57.52,74,12,2.01,few clouds
136,Balaipungut,ID,1.05,101.2833,84.04,80,88,2.44,overcast clouds
137,Campbellsville,US,37.3434,-85.3419,50.11,66,100,4.09,overcast clouds
138,Orlik,RU,52.5178,99.825,20.95,53,34,1.5,scattered clouds
139,Haines Junction,CA,60.7522,-137.5108,16.14,91,99,0.56,overcast clouds
140,Vila Velha,BR,-20.3297,-40.2925,73.35,93,100,17.0,overcast clouds
141,Isangel,VU,-19.55,169.2667,79.68,77,63,5.06,broken clouds
142,Egvekinot,RU,66.3167,-179.1667,4.95,88,98,15.84,overcast clouds
143,Bara,NG,10.3744,10.7288,71.71,33,10,5.48,clear sky
144,Brae,GB,60.3964,-1.353,50.11,71,65,16.08,broken clouds
145,Udayagiri,IN,20.1333,84.3833,78.64,59,26,2.71,scattered clouds
146,Fortuna,US,40.5982,-124.1573,46.65,95,100,6.91,overcast clouds
147,Nabire,ID,-3.3667,135.4833,88.16,62,47,6.22,scattered clouds
148,Kilindoni,TZ,-7.9139,39.6668,77.58,75,17,6.11,few clouds
149,Padang,ID,-0.9492,100.3543,86.05,69,65,4.41,broken clouds
150,Zaprudnya,RU,56.5667,37.4333,33.01,99,100,3.15,overcast clouds
151,Tuatapere,NZ,-46.1333,167.6833,64.36,54,16,6.06,few clouds
152,Longyearbyen,SJ,78.2186,15.6401,33.64,93,75,6.91,light rain
153,Severo-Kuril'sk,RU,50.6789,156.125,40.1,71,100,7.07,overcast clouds
154,Carnarvon,AU,-24.8667,113.6333,80.91,38,0,12.57,clear sky
155,Estelle,US,29.8458,-90.1067,69.8,78,75,3.44,broken clouds
156,George Town,MY,5.4112,100.3354,82.33,79,40,3.44,moderate rain
157,Komsomolets,KZ,53.7453,62.0708,33.28,74,69,12.84,broken clouds
158,Yangi Marg`ilon,UZ,40.4272,71.7189,54.32,76,100,2.3,overcast clouds
159,Arrondissement de Pontarlier,FR,46.8333,6.25,48.94,90,100,4.54,overcast clouds
160,Bherāmāra,BD,24.0232,88.9925,84.07,49,45,7.67,scattered clouds
161,Geraldton,AU,-28.7667,114.6,84.61,26,0,16.11,clear sky
162,Daru,PG,-9.0763,143.2092,87.33,65,56,9.71,broken clouds
163,El Alto,PE,-4.2714,-81.2147,62.38,82,100,10.25,overcast clouds
164,George Town,MY,5.4112,100.3354,82.33,79,40,3.44,moderate rain
165,La Ronge,CA,55.1001,-105.2842,28.67,94,100,13.4,snow
166,Ponta do Sol,PT,32.6667,-17.1,72.01,91,92,4.74,overcast clouds
167,Saint-Augustin,CA,51.226,-58.6502,45.81,95,100,10.47,overcast clouds
168,Raja,SS,8.4596,25.678,70.43,49,41,4.25,scattered clouds
169,Buciumi,RO,47.0333,23.0667,48.13,80,71,1.54,broken clouds
170,Bud,US,39.447,-86.1758,56.14,82,29,3.24,scattered clouds
171,Maceió,BR,-9.6658,-35.7353,74.64,94,0,4.61,clear sky
172,Te Anau,NZ,-45.4167,167.7167,64.06,50,19,3.11,few clouds
173,Flinders,AU,-34.5833,150.8552,65.48,50,19,16.04,few clouds
174,Gijang,KR,35.2442,129.2139,65.71,51,0,4.5,clear sky
175,Santiago,CL,-33.4569,-70.6483,65.86,52,0,2.3,clear sky
176,Río Gallegos,AR,-51.6226,-69.2181,51.64,63,99,11.36,light rain
177,Koshurnikovo,RU,54.1667,93.3,35.92,67,10,3.4,clear sky
178,Andenes,NO,69.3143,16.1194,45.93,81,0,9.22,clear sky
179,Beloha,MG,-25.1667,45.05,78.6,66,46,9.19,scattered clouds
180,Makakilo City,US,21.3469,-158.0858,77.68,67,0,8.05,clear sky
181,Labuhan,ID,-6.8844,112.2051,85.89,64,90,6.42,overcast clouds
182,Meadow Lake,US,34.8014,-106.5436,58.41,37,93,12.15,overcast clouds
183,São Félix do Xingu,BR,-6.6447,-51.995,70.41,99,100,1.52,overcast clouds
184,Honiara,SB,-9.4333,159.95,83.64,77,96,1.16,overcast clouds
185,Kavaratti,IN,10.5669,72.642,82.53,67,44,9.35,scattered clouds
186,Zhangaözen,KZ,43.3,52.8,45.32,71,100,16.78,overcast clouds
187,Biak,ID,-0.9131,122.8766,82.04,75,100,2.24,overcast clouds
188,Inowrocław,PL,52.7989,18.2639,53.11,92,63,6.69,broken clouds
189,Lebu,CL,-37.6167,-73.65,53.15,87,2,1.86,clear sky
190,Kalmunai,LK,7.4167,81.8167,83.68,69,87,3.98,overcast clouds
191,Lamu,KE,-2.2717,40.902,79.02,80,50,8.9,light rain
192,Carauari,BR,-4.8828,-66.8958,63.64,97,100,5.77,moderate rain
193,Barberton,ZA,-25.7884,31.0532,59.18,84,100,1.95,overcast clouds
194,Tiznit Province,MA,29.5833,-9.5,68.7,25,97,1.21,overcast clouds
195,Jamestown,US,42.097,-79.2353,53.24,95,100,4.61,mist
196,Westport,US,41.1415,-73.3579,59.94,87,0,4.61,clear sky
197,Salalah,OM,17.0151,54.0924,84.29,58,20,1.14,few clouds
198,San Fernando,PH,15.0286,120.6898,88.9,60,49,6.46,scattered clouds
199,Bergen,NO,60.392,5.328,49.87,92,75,10.36,light rain
200,Codrington,AU,-38.2667,141.9667,51.78,80,99,16.67,overcast clouds
201,Luga,RU,58.7372,29.8453,43.23,97,100,3.87,overcast clouds
202,Vaitape,PF,-16.5167,-151.75,77.14,81,56,13.91,light rain
203,Iquitos,PE,-3.7481,-73.2472,66.24,94,100,8.05,overcast clouds
204,Young,UY,-32.6833,-57.6333,45.45,50,0,5.26,clear sky
205,San Andrés,CO,12.5847,-81.7006,80.62,89,20,3.44,few clouds
206,Vao,NC,-22.6667,167.4833,76.32,77,78,9.22,broken clouds
207,Murray Bridge,AU,-35.1167,139.2667,60.12,59,98,15.5,overcast clouds
208,Øksfjord,NO,70.2396,22.3479,44.78,90,73,11.97,broken clouds
209,Rocha,UY,-34.4833,-54.3333,40.46,88,0,4.29,clear sky
210,Starkville,US,33.4504,-88.8184,60.67,88,0,0.0,clear sky
211,Talcahuano,CL,-36.7167,-73.1167,53.28,94,100,14.97,overcast clouds
212,Finnsnes,NO,69.2296,17.9811,29.01,94,99,6.69,overcast clouds
213,Bonthe,SL,7.5264,-12.505,76.41,87,99,7.36,overcast clouds
214,Marsabit,KE,2.3284,37.9899,64.42,86,56,16.51,light rain
215,Kieta,PG,-6.2167,155.6333,82.49,80,80,2.39,moderate rain
216,Sørland,NO,67.667,12.6934,51.66,74,100,27.63,overcast clouds
217,Hirara,JP,24.8,125.2833,75.47,94,75,19.57,light intensity shower rain
218,Ketchikan,US,55.3422,-131.6461,35.37,78,6,5.17,clear sky
219,Ukiah,US,39.1502,-123.2078,46.36,89,0,0.0,clear sky
220,Deputatsky,RU,69.3,139.9,-8.37,99,72,4.54,broken clouds
221,Bollnäs,SE,61.3482,16.3946,47.44,97,100,4.56,overcast clouds
222,San Juan,AR,-31.5375,-68.5364,59.25,12,0,5.86,clear sky
223,Tonalá,MX,20.6167,-103.2333,59.92,48,0,0.0,clear sky
224,Orangeburg,US,33.4918,-80.8557,57.49,94,0,0.0,clear sky
225,Krasnosel'kup,RU,65.7,82.4667,17.2,93,100,11.25,overcast clouds
226,Altar,MX,30.7,-111.8167,67.82,37,8,5.26,clear sky
227,Aloleng,PH,16.1307,119.7824,83.32,73,45,11.07,scattered clouds
228,Lyngseidet,NO,69.5763,20.2189,44.6,87,96,16.37,overcast clouds
229,Moscow,RU,55.7522,37.6156,35.38,99,100,2.86,overcast clouds
230,Port Shepstone,ZA,-30.7414,30.455,65.28,81,100,14.76,light rain
